date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-04-21,27.5,72,1007.7,21.8,0.0,54.31666666666666,23.3125,233.7083333333333,9.191666666666666,4.7875000000000005,98.91666666666669,73.04166666666667
2024-04-22,27.5,76,1008.3,23.9,0.0,57.55,20.45833333333333,196.04166666666663,8.466666666666667,4.0875,70.5,70.29166666666667
2024-04-23,27.3,79,1007.4,19.8,0.0,56.55416666666667,19.79583333333333,201.41666666666663,9.141666666666667,4.525,78.79166666666667,66.875
2024-04-24,27.3,78,1006.9,18.3,0.0,51.10833333333333,19.320833333333333,216.9583333333333,10.2,5.120833333333333,72.79166666666667,65.04166666666667
2024-04-25,27.4,79,1006.9,21.1,0.0,46.14166666666667,16.591666666666665,216.2083333333333,11.0875,4.695833333333334,67.75,64.5
2024-04-26,28.1,75,1007.1,23.0,0.0,65.68333333333334,16.816666666666666,200.0833333333333,8.033333333333333,4.216666666666667,77.125,57.91666666666666
2024-04-27,27.7,77,1008.3,19.1,0.0,60.03333333333333,15.9125,219.8333333333333,10.241666666666667,4.8125,75.91666666666667,60.16666666666666
2024-04-28,28.4,75,1008.6,20.1,0.0,66.26666666666667,18.016666666666666,225.25,11.408333333333331,6.2125,77.79166666666667,58.5
2024-04-29,30.6,42,1009.2,20.3,0.0,118.32916666666668,26.879166666666663,259.7916666666667,13.525,6.3,90.0,73.33333333333333
2024-04-30,30.7,37,1008.3,21.8,0.0,127.33333333333331,30.20833333333333,255.66666666666663,12.129166666666668,6.566666666666666,102.29166666666669,89.83333333333333
2024-05-01,29.6,21,1006.2,20.2,0.0,146.82500000000002,35.112500000000004,257.625,13.220833333333331,9.279166666666669,100.45833333333331,92.83333333333331
2024-05-02,28.8,55,1005.5,14.7,0.0,114.87083333333334,38.175,325.375,17.258333333333333,11.5375,108.20833333333331,119.16666666666669
